S.,,,Un
No.,Branch,Course Name/Group Name,(Credits)
,,ANALYSIS(CE624A),0(9)
85,CE,MASONARY,3-0-0-
,,STRUCTURES(CE625A),0(9)
86,CE,ADVANCED,3-0-0-
,,GEOTECHNICAL,0(9)
,,ENGINEERING(CE631A),
87,CE,GEOTECHNICAL,2-0-3-
,,MEASUREMENTS AND,0(9)
,,EXPLORATION(CE638A),
88,CE,ADVANCEMENTS IN,3-0-0-
,,CONCRETE(CE653B),0(5)
,,,
89,CE,CONCRETE SCIENCE AND,3-0-0-
,,ENGINEERING,0(5)
,,PROPERTIES(CE654A),
90,CE,CONSTRUCTION COST,2-0-0-
,,ESTIMATING CONTROL,0(6)
,,AND ANALYSIS(CE662A),
91,CE,PHYSICO-CHEMICAL,3-0-0-
,,PRINCIPLES AND,0(9)
,,PROCESS(CE664A),
92,CE,ECOLOGICAL AND,3-0-0-
,,BIOLOGICAL PRINCIPLES,0(9)
,,AND PROCESS(CE665A),
93,CE,AIR POLLUTION AND ITS,3-0-0-
,,CONTROL(CE666A),0(9)
94,CE,INTRODUCTION TO,3-0-2-
,,REMOTE SENSING(CE671A),0(11)
95,CE,PHYSICAL,3-0-2-
,,GEODESY(CE678A),0(11)
96,CE,TRAFFIC,3-0-0-
97,CE,STATISTICAL AND,3-0-2-
,,ECONOMETRIC METHODS,0(11)
,,FOR TRANSPORTATION,
,,ENGINEERING(CE687A),
98,CE,M TECH SEMINAR I(CE697A),0-0-0-
,,,0(0)
,,,
99,CE,M. TECH THESIS(CE699),0-0-0-
,,,0(0)
,,,
,,,
100,CE,UNSATURATED SOIL,3-0-0-
,,MECHANICS(CE732A),0(9)
101,CE,PLASTIC EQUILIBRIUM IN,3-0-0-
,,SOILS(CE734A),0(9)
,,,
102,CE,MOMENT ANALYSIS FOR,3-0-0-
,,CONTAMINANT FATE AND,0(9)
,,TRANSPORT(CE737A),
103,CE,HYDROMETRY(CE738A),2-0-3-
,,,0(9)
,,,
104,CE,ADJUSTMENT,2-0-1-
,,COMPUTATIONS FOR,0(6)
,,GEOINFORMATICS-,
,,I(CE770A),
105,CE,REFERENCE FRAMES,3-0-1-
,,COORDINATE SYSTEMS,0(6)
,,AND MAP,
,,PROJECTIONS(CE772A),
106,CE,GEODETIC ASTRONOMY,3-0-1-
107,CE,ANALYSIS AND DESIGN OF,3-0-0-
,,BITUMINOUS,0(9)
,,PAVEMENTS(CE786A),
108,CE,COMPUTATIONAL TOOLS,3-0-2-
,,FOR TRANSPORTATION,0(11)
,,ENGINEERING(CE787A),
,,,
109,CE,LITERATURE SEARCH AND,0-0-0-
,,REVIEW(CE791A),0(5)
,,,
110,CE,SCIENTIFIC WRITING,0-0-0-
,,SKILLS(CE792A),0(5)
,,,
111,CE,SCIENTIFIC PRASENTATION,0-0-0-
,,SKILLS(CE793A),0(5)
,,,
112,CE,SCIENTIFIC DATA,0-0-0-
,,ANALYSIS PRESENTATION,0(5)
,,AND,
,,INTERPRETATION(CE794A),
113,CE,PHD SEMINAR I(CE797A),0-0-0-
,,,0(0)
,,,
114,CE,PHD SEMINAR II(CE798A),0-0-0-
,,,0(0)
,,,
115,CE,PHD THESIS(CE799),0-0-0-
,,,0(0)
,,,
116,CE,MS RESEARCH SEMINAR,0-0-0-
No.,Branch,Course Name/Group Name,(Credits)
S.,,,Units
No.,Branch,Course Name/Group Name,(Credits)
,,I(CE897A),0(0)
,,,
117,CE,MS - RESEARCH,0-0-0-
,,THESIS(CE899),0(0)
,,,
118,CE,MECHANICS OF,3-1-0-
,,SOLIDS(ESO202A),0(11)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
119,CE,COMPUTATIONAL,3-1-0-
,,METHODS IN,0(11)
,,ENGINEERING(ESO208A),
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
120,CGS,INTRODUCTION TO,3-0-0-
,,COGNITIVE,0(9)
,,SCIENCE(CGS401A),
121,CGS,COMPUTATIONAL TOOLS,3-0-2-
,,FOR COGNITIVE,0(11)
,,SCIENCE(CGS600A),
122,CGS,FOUNDATIONS OF,3-0-0-
,,COGNITIVE,0(9)
S.,,,Units
No.,Branch,Course Name/Group Name,(Credits)
123,CGS,BASIC STATISTICS DATA,3-0-2-
,,ANALYSIS &,0(11)
,,INFERENCE(CGS602A),
124,CGS,EXPERIMENT DESIGN AND,3-0-0-
,,ANALYSIS(CGS610A),0(5)
125,CGS,BASICS OF,3-0-0-
,,PSYCHOPHYSICS(CGS611A),0(5)
,,,
,,,
126,CGS,CONSCIOUSNESS(CGS652A),3-0-0-
,,,0(9)
127,CGS,PROJECT(CGS702A),0-0-0-
,,,0(9)
,,,
128,CGS,PHD THESIS(CGS799),0-0-0-
,,,0(0)
129,CGS,MS - RESEARCH,0-0-0-
,,THESIS(CGS899),0(0)
130,CHE,INTRODUCTION TO CHE,3-0-0-
,,AND PROCESS,0(9)
,,CALCULATION(CHE251A),
131,CHE,CHEMICAL ENGINEERING,0-0-2-
,,COMMUNICATION,0(2)
,,SKILLS(CHE300A),
132,CHE,HEAT TRANSFER & ITS,3-0-0-
,,APPLICATIONS(CHE312A),0(9)
,,,
133,CHE,MASS TRANSFER & ITS,3-0-0-
,,APPLICATIONS(CHE313A),0(9)
,,,
134,CHE,UG PROJECT (UGP-,0-0-0-
,,I)(CHE349A),4(4)
S.,,,Units
No.,Branch,Course Name/Group Name,(Credits)
135,CHE,CHEMICAL PROCESS,1-0-2-
,,SIMULATION,0(5)
,,LAB(CHE352A),
136,CHE,UG PROJECT II(CHE398A),0-0-9-
,,,0(9)
137,CHE,CHEMICAL ENGINEERING,3-0-2-
,,DESIGN(CHE453A),0(11)
,,,
138,CHE,UNIT OPERATIONS AND,1-0-3-
,,PROCESS CONTROL,2(8)
,,LABORATORY(CHE492A),
139,CHE,UNDER GRADUATE,0-0-0-
,,PROJECT-III(CHE497A),0(9)
140,CHE,UNDER GRADUATE,0-0-9-
,,PROJECT IV(CHE498A),0(9)
141,CHE,TRANSPORT,3-0-0-
,,PHENOMENA(CHE611A),0(9)
142,CHE,THE STRUCTURE &,3-0-0-
,,RHEOLOGY OF COMPLEX,0(9)
,,FLUIDS(CHE613A),
143,CHE,CHEMICAL REACTION,3-0-0-
,,ENGINEERING(CHE631A),0(9)
,,,
