S.,,,Un
No.,Branch,Course Name/Group Name, Credits  
192,CHM,LASERS IN CHEMISTRY,  
,, CHM697A  ,9
193,CHM, CHM799  ,  
,,,0
194,CHM,GENERAL,  
,, CHM800A  ,0
195,CHM,GRADUATE,  
,, CHM801A  ,0
196,COM,COMMUNICATION SKILLS:,  
S.,,,Units
No.,Branch,Course Name/Group Name, Credits  
,, COM200  ,5
197,CSE,MATHEMATICS FOR,  
,,COMPUTER SCIENCE -,9
,, CS201A  ,
,,,
198,CSE,TECHNICAL,  
,, CS300A  ,2
199,CSE,OPERATING,  
,, CS330A  ,12
,,,
,,,
200,CSE,THEORY OF,  
,, CS340A  ,9
,,,
201,CSE, CS345A  ,  
,,,9
202,CSE,PRINCIPLES OF,  
,,PROGRAMMING,9
,, CS350A  ,
203,CSE, UGP-,  
,, CS395A  ,4
204,CSE, UGP-,  
,, CS396A  ,9
205,CSE,COMPUTER,  
,, CS422A  ,9
,,,
206,CSE,UNDER GRADUATE,  
,, CS498A  ,9
207,CSE,UNDER GRADUATE,  
,, CS499A  ,9
208,CSE,PROGRAMMING FOR,  
,, CS610A  ,9
S.,,,Units
No.,Branch,Course Name/Group Name, Credits  
,,,
209,CSE,COMPUTER SYSTEMS,  
,, CS628A  ,9
,,,
,,,
210,CSE,EMBEDDED AND CYBER-,  
,,PHYSICAL,9
,, CS637A  ,
211,CSE,PROGRAM ANALYSIS,  
,,VERIFICATION AND,9
,, CS639A  ,
212,CSE,CIRCUIT COMPLEXITY,  
,, CS642A  ,9
,,,
213,CSE,ADVANCED TOPICS IN,  
,,ALGORITHMS & DATA,9
,, CS647A  ,
,,,
214,CSE,ALGORITHMIC GAME,  
,, CS656A  ,9
,,,
215,CSE,HARDWARE SECURITY OF,  
,,INTERNET OF,9
,, CS666A  ,
216,CSE,INTRODUCTION TO,  
,,INTERNET OF THINGS & ITS,9
,,INDUSTRIAL,
,, CS667A  ,
217,CSE,PRACTICAL CYBER,  
,,SECURITY FOR CYBER,9
,, CS668A  ,
218,CSE,QUANTUM,  
,, CS682A  ,9
219,CSE,COMPUTATIONAL,  
,,LINGUISTICS FOR INDIAN,9
,, CS689A  ,
220,CSE,COMPUTATIONAL,  
,, CS690A  ,9
,,,
221,CSE,SPECIAL TOPICS IN,  
,,COMPUTER,9
,, CS697A  ,
222,CSE,SENSING,  
,,COMMUNICATIONS AND,9
,,NETWORKING FOR SMART,
,,WIRELESS,
,, CS698F  ,
223,CSE,PRACTICAL CYBER,  
,,SECURITY FOR CYBER,9
,, CS698S  ,
224,CSE, CS699  ,  
,,,0
225,CSE,SENSING,  
,,COMMUNICATIONS AND,9
,,NETWORKING FOR SMART,
,,WIRELESS,
,, CS724A  ,
226,CSE,ADVANCED COMPILER,  
,, CS738A  ,9
,,,
,,,
227,CSE,INTRODUCTION TO,  
,,MACHINE,9
,, CS771A  ,
228,CSE,PROBABILISTIC MACHINE,  
229,CSE,SPECIAL TOPICS IN,  
,,COMPUTER,9
,, CS797A  ,
230,CSE,COMPUTATIONAL,  
,,LINGUISTICS FOR INDIAN,9
,, CS798B  ,
231,CSE,POST QUANTUM,  
,, CS798C  ,9
,,,
,,,
232,CSE,ALGORITHMS FOR,  
,,BAYESIAN NETWORKS AND,9
,, CS798D  ,
233,CSE, CS799  ,  
,,,0
234,CSE,MS - RESEARCH,  
,, CS899  ,0
235,CSE,DATA STRUCTURE &,  
,, ESO207A  ,12
236,ECO,INTRODUCTION TO,  
,, ECO101A  ,11
,,,
,,,
237,ECO,MICROECONOMICS,  
,, ECO201A  ,9
238,ECO,MACROECONOMICS,  
,, ECO221A  ,9
239,ECO,MICROECONOMICS,  
S.,,,Units
No.,Branch,Course Name/Group Name, Credits  
,, CS772A  ,9
S.,,,Units
No.,Branch,Course Name/Group Name, Credits  
240,ECO,MACROECONOMICS-,  
,, ECO321A  ,9
,,,
241,ECO, ECO341A  ,  
,,,12
,,,
242,ECO,TECHNICAL,  
,, ECO397A,2
,,  ,
243,ECO, UGP-,  
,, ECO398A  ,4
244,ECO,INDUSTRIAL,  
,, ECO411A  ,9
,,,
245,ECO,INTERNATIONAL,  
,,ECONOMICS AND,9
,, ECO412A  ,
246,ECO,MACROECONOMICS AND,  
,, ECO421A  ,9
247,ECO,FINANCIAL,  
,, ECO423A  ,9
248,ECO,UNDER GRADUATE,  
,, ECO498A  ,9
249,ECO,ECONOMIC ANALYSIS OF,  
,, ECO504A  ,9
250,ECO,BEHAVIOURAL AND,  
,,EXPERIMENTAL,9
,, ECO506A  ,
251,ECO, ECO511A  ,  
,,,9
252,ECO,ECONOMIC GROWTH,  
,,THEORY AND,9
253,ECO, ECO699  ,  
,,,9
254,ECO, ECO701,  
,,A  ,9
255,ECO, ECO704A  ,  
,,,9
256,ECO,TOPICS IN MATHEMATICAL,  
,,ECONOMICS: ASSET,9
,,PRICING THEORY,
,, ECO719A  ,
257,ECO,ADVANCED MONETARY,  
,, ECO745A  ,9
258,ECO,QUANTITATIVE ANALYSIS,  
,,OF INTERNATIONAL,9
,, ECO752A  ,
259,ECO, ECO754A  ,  
,,,9
260,ECO,TOPICS IN ECONOMIC,  
,, ECO758A  ,9
,,,
261,ECO,MATHEMATICAL,  
,,ANALYSIS FOR,9
,, ECO760A  ,
262,ECO, ECO799  ,  
,,,0
263,EE,SIGNALS SYSTEMS &,  
S.,,,Units
No.,Branch,Course Name/Group Name, Credits  
,,,
,,,
,,,
,,,
,,,
264,EE,PRINCIPLES OF,  
,, EE320A  ,11
,,,
,,,
,,,
,,,
,,,
265,EE, EE330A  ,  
,,,11
,,,
,,,
,,,
,,,
,,,
266,EE,DIGITAL,  
,, EE370A  ,11
,,,
,,,
,,,
,,,
,,,
267,EE,ELECTRICAL ENGINEERING,  
,, EE380A  ,12
,,,
,,,
,,,
,,,
,,,
,,,
,,,
268,EE,ELECTRICAL ENGINEERING,  
,, EE381A  ,12
269,EE,ELECTRICAL ENGINEERING,  
,,COMMUNICATION,2
,, EE390A  ,
270,EE,ELECTRICAL ENGINEERING,  
,,UNDER GRADUATE,4
,, EE391A  ,
271,EE,ELECTRICAL ENGINEERING,  
,, EE480A  ,10
,,,
,,,
,,,
,,,
272,EE,ELECTRICAL ENGINEERING,  
,, EE481A  ,6
273,EE,UNDER GRADUATE,  
,, EE491A  ,9
274,EE,STATISTICAL SIGNAL,  
,, EE602A  ,9
275,EE,MACHINE LEARNING FOR,  
,,SIGNAL,9
,, EE603A  ,
276,EE,IMAGE,  
,, EE604A  ,9
277,EE,INTRODUCTION TO SIGNAL,  
,, EE605A  ,9
,,,
278,EE,ANALOG/DIGITAL VLSI,  
,, EE610A  ,9
279,EE,SOLID STATE DEVICES,  
,, EE614A  ,9
280,EE,SEMICONDUCTOR DEVICE,  
281,EE,INDUSTRIAL AUTOMATION,  
,, EE617A  ,9
282,EE,INTEGRATED CIRCUIT,  
,,FABRICATION,9
,, EE618A  ,
283,EE,VLSI SYSTEM,  
,, EE619A  ,9
284,EE,REPRESENTATION AND,  
,,ANALYSIS OF RANDOM,9
,, EE621A  ,
285,EE,DIGITAL,  
,, EE629A  ,9
286,EE,SIMULATON OF MODERN,  
,, EE630A  ,12
,,,
287,EE,ECONOMIC OPERATION &,  
,,CONTROL OF POWER,9
,, EE632A  ,
288,EE,ELECTRICAL INSULATION,  
,,IN POWER APPARATUS,9
,, EE634A  ,
289,EE,ADVANCED ENGINEERING,  
,, EE64,9
,,1A  ,
290,EE,ANTENNAS ANALYSIS &,  
